Brood	Ring	Implant	Age	days	totCort
602	M005234	C	34	20	1.98
602	M005456	P	17	before	0.99
602	M005456	P	29	20	1.98
602	M005457	C	18	before	0.99
602	M005457	C	20	2	20.308
602	M005457	C	30	20	4.658
603	M005243	P	21	before	7.97
603	M005243	P	23	2	2.916
603	M005243	P	33	20	6.593
603	M005458	C	16	before	3.109
603	M005459	C	19	before	5.779
603	M005459	C	21	2	48.947
603	M005460	P	15	before	4.151
604	M005010	C	27	before	7.011
604	M005010	C	29	2	107.544
604	M005019	C	23	before	2.742
604	M005019	C	35	20	8.83
604	M005020	P	24	before	4.332
604	M005020	P	26	2	0.99
604	M005020	P	36	20	6.404
604	M005038	P	19	before	7.011
604	M005038	P	21	2	0.99
605	M005005	P	19	before	6.01
605	M005005	P	21	2	7.224
605	M005006	C	21	before	5.881
605	M005006	C	23	2	57.09
605	M005238	C	26	before	12.456
605	M005238	C	28	2	36.605
605	M005238	C	38	20	30.806
605	M005240	P	25	before	5.159
605	M005240	P	27	2	7.593
606	M005241	C	23	before	5.881
606	M005241	C	25	2	28.41
606	M005241	C	35	20	10.952
606	M005242	P	25	before	3.337
606	M005242	P	27	2	6.949
607	M005017	P	24	before	3.751
607	M005017	P	36	20	3.764
607	M005037	P	28	20	3.597
607	M005249	C	29	before	5.394
607	M005249	C	31	2	88.867
607	M005249	C	41	20	10.157
607	M005250	C	27	before	6.408
607	M005250	C	39	20	6.859
608	M005007	C	28	before	7.09
608	M005007	C	30	2	36.231
608	M005007	C	40	20	8.02
608	M005008	P	22	before	7.928
608	M005008	P	34	20	5.568
608	M005009	P	26	before	3.751
608	M005009	P	38	20	2.619
608	M005467	C	21	before	6.285
608	M005467	C	33	20	6.08
610	M005021	P	22	before	6.065
610	M005021	P	24	2	5.779
610	M005021	P	34	20	6.525
610	M005244	C	27	before	5.689
610	M005244	C	29	2	27.803
610	M005244	C	39	20	4.111
610	M005245	C	25	before	6.989
610	M005245	C	27	2	38.161
610	M005245	C	37	20	4.43
611	M005239	C	29	before	20.862
611	M005239	C	31	2	13.307
611	M005239	C	41	20	9.9
611	M005461	P	24	before	31.281
611	M005461	P	36	20	9.171
611	M005462	C	25	before	34.496
611	M005462	C	37	20	1.98
612	M005029	P	20	before	5.049
612	M005029	P	32	20	11.446
612	M005247	C	28	before	7.55
612	M005247	C	40	20	12.964
612	M005248	C	26	before	6.069
612	M005248	C	38	20	6.822
613	M005012	C	27	before	22.083
613	M005012	C	39	20	25.92
613	M005027	P	24	before	13.25
613	M005027	P	36	20	15.336
613	M005028	P	22	before	4.316
613	M005028	P	24	2	0.99
613	M005474	C	20	before	7.86
613	M005474	C	22	2	39.67
614	M005002	C	29	before	4.694
614	M005002	C	31	2	65.557
614	M005002	C	41	20	13.556
614	M005003	P	28	before	2.247
614	M005003	P	30	2	4.714
614	M005003	P	27	2	4.714
614	M005003	P	40	20	6.173
614	M005011	C	25	before	0.99
614	M005468	P	22	before	2.724
614	M005468	P	24	2	4.186
616	M005013	C	28	before	5.911
616	M005013	C	30	2	95.858
616	M005013	C	40	20	9.343
616	M005025	P	22	before	11.805
616	M005026	P	25	before	6.003
616	M005026	P	27	2	0.99
616	M005026	P	37	20	8.998
616	M005472	C	19	before	9.398
617	M005470	P	26	before	6.487
617	M005470	P	28	2	14.83
617	M005470	P	38	20	7.884
617	M005471	C	25	before	7.838
617	M005471	C	37	20	6.193
617	M005476	C	22	before	86.882
617	M005479	P	19	before	4.815
618	M005030	P	26	before	5.325
618	M005030	P	28	2	6.103
618	M005030	P	38	20	6.193
618	M005032	C	24	before	24.963
618	M005032	C	26	2	30.085
618	M005039	C	23	before	2.604
618	M005039	C	25	2	47.031
618	M005465	P	29	before	4.318
618	M005465	P	31	2	4.012
618	M005465	P	41	20	12.223
619	M005024	P	25	before	9.317
619	M005024	P	27	2	1.98
619	M005024	P	37	20	8.998
619	M005049	C	23	before	2.339
619	M005049	C	25	2	34.159
619	M005463	P	30	before	1.223
619	M005463	P	32	2	4.081
619	M005463	P	42	20	1.978
619	M005464	C	29	before	3.174
620	M005022	P	23	before	0.99
620	M005022	P	35	20	2.896
620	M005023	C	22	before	4.214
620	M005023	C	24	2	46.255
620	M005023	C	34	20	8.012
620	M005035	P	18	before	8.599
620	M005035	P	20	2	0.99
620	M005036	C	19	before	2.781
620	M005036	C	21	2	35.558
621	M005042	C	20	before	7.3
621	M005042	C	22	2	61.899
621	M005477	C	26	before	4.94
621	M005477	C	28	2	49.834
621	M005478	P	24	before	4.449
621	M005478	P	26	2	7.858
622	M005033	P	26	before	8.844
622	M005034	C	24	before	5.572
622	M005034	C	26	2	39.492
622	M005034	C	36	20	12.826
622	M005040	P	18	before	13.635
622	M005041	C	22	before	8.078
622	M005041	C	24	2	56.031
624	M005043	P	17	before	11.418
624	M005043	P	19	2	20.204
624	M005044	C	21	before	3.793
624	M005480	C	22	before	6.094
624	M005480	C	24	2	118.032
624	M005481	P	24	before	4.57
624	M005481	P	26	2	10.037
624	M005481	P	36	20	7.056
